Trix;Gubser;Unterägeri;KR;1;TG1;Klimaschutz und Förderung der Biodiversität sind die wichtigsten Themen, denen wir uns als Gesellschaft stellen müssen - doch jeder Einzelne kann und muss einen Beitrag leisten ! ;Sozialarbeiterin FH;Verheiratet mit 3 Kindern;https://www.facebook.com/trix.gubser;Mitglied Gesundheits- und Umweltkommission Unterägeri ;"Präsidentin Jugendprojekt Midnight sports ägeri;Vizepräsidentin Verein Hilfe für Las Granjas- Kinderheim in Kolumbien;Präsidentin Kirchenkonzertkommission Menzingen;Präsidentin Hundeverein Aegerital;Präsidentin Hundeverein für Streuner in Griechenland";"Stell dir vor, die Existenzgrundlage von Millionen Menschen und Tieren ist bedroht und alle erklären sich solidarisch und versuchen die Probleme gemeinsam zu lösen! 
Eine Vision?  Doch es wäre möglich, aber wir müssen handeln -   JETZT!
•	Klimaschutz / Fö";0
Beat;Ryser;Unterägeri;KR;3;BR1;"Ich setze mich für unsere Lebensgrundlagen ein; Boden, Wasser, Luft und Biodiversität. ";Dipl. Ingenieur Agronom ETH;Verheiratet mit zwei Kindern ;https://www.facebook.com/beat.ryser.5;;;;0
Fabian;Gubser;Unterägeri;KR;5;FG_6654;Konstruktive, transparente und nachhaltige Lösungen.;"Freier Journalist FH;Student";;;;"Vorstand Midnight sports ägeri;Mitglied Syndicom";Ich war aktiv in der Jugendmusik Ägerital, dem Klarinettenensemble Unterägeri, beim Aufbau und Betrieb des Jugendpub Pii und ebenso aktiv im Generationentreff Ägerital.;0
Andreas;Kretz;Walchwil;KR;1;AK_7888;Für mich ist Klimaschutz eine Herzensangelegenheit. ;Sachbearbeiter Steuern ;ledig ;https://www.facebook.com/andreas.kretz.5/;;"Musikgesellschaft Walchwil;Vorstandsmitglied Gewerkschaftsbund Zug ";;0
Delia;Meier;Zug;GR;1;DM_6189;Für ein ökologisches und solidarisches Zug!;"Studentin Chemie;Co-Präsidentin Junge Alternative Zug";;"https://www.instagram.com/meier.delia/; https://twitter.com/deliameier_";;Co-Präsidentin Zuger Transparenzinitiative;;0
Julia;Küng;Zug;GR;7;JK_6217;Klima ohne Krise, dafür mit sozialer Gerechtigkeit. Handeln wir jetzt!;"Studentin Psychologie und Geschichte;Vize-Präsidentin GRÜNE Schweiz";;"https://www.instagram.com/kueng.julia/ ; https://twitter.com/julia_kueng?lang=en; https://www.facebook.com/julia.kung.182; https://www.linkedin.com/in/julia-k%C3%BCng-0999b9223/";"Co-Präsidentin Junge Grüne Schweiz;Vize-Präsidentin GRÜNE Schweiz;Vorstand Junge Alternative Zug";"Klimastreik Zug;feministisches Streikkollektiv Zug;Syndicom";;0
Michele;Willimann;Zug;GR;9;MW_7884;0;Raumplanerin MSc ETH;;https://www.instagram.com/michele.willimann/;"Mitglied Grosser Gemeinderat Zug;Mitglied Bau- und Planungskommission Stadt Zug";Präsidentin Orchester Cham-Hünenberg;;1
Patrick;Steinle;Zug;GR;13;PS_5953;Es gibt kein richtiges Leben im falschen - schaffen wir die Voraussetzungen für eine nachhaltige Gesellschaft!;Laborleiter;Verheiratet mit 3 Kindern;https://www.instagram.com/polit.patrick/;Mitglied Grosser Gemeinderat Zug;"ProVelo;Guggenmusik;Kanu-Club";;1
Dagmar;Amrein;Zug;GR;15;DA_7729;Ich setze mich dafür ein, dass Zug weitsichtige Entscheide trifft und auch im Bereich Nachhaltigkeit führend wird. Wir haben alles dazu, was es braucht. Tun wir es!;Schulische Heilpädagogin;Zwei Kinder;;Mitglied Grosser Gemeinderat Zug;"Chor Cantori Contenti;SAC";Nebst den umweltpolitischen Anliegen ist mir die Kultur und die Sozial-Politik wichtig. Für gute Lösungen braucht es alle, Menschen jeden Alters, aus verschiedenen Schichten und mit unterschiedlichem Hintergrund. Dies ist ein Reichtum. Lasst uns die Weich;1
Stefan;Hodel;Zug;GR;17;SH_6001;Ich setze mich ein für eine lebenswerte Welt, mit meinem Handeln im Alltag, aber auch als Mitglied des Stadtparlamentes.;Sozialarbeiter;Verheiratet mit 3 Kindern;;Mitglied Grosser Gemeinderat Zug ;"Nachbarschaft Oberwil-Gimenen;SAC;OLV Zug;Klausengruppe Oberwil";;1
